cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-2660.fastq	gbsFlowcell	ZeaSynDH-2660.fastq	gbs	274
ZeaSynDH-2249.fastq	gbsFlowcell	ZeaSynDH-2249.fastq	gbs	275
ZeaSynDH-2834.fastq	gbsFlowcell	ZeaSynDH-2834.fastq	gbs	276
ZeaSynDH-2129.fastq	gbsFlowcell	ZeaSynDH-2129.fastq	gbs	277
ZeaSynDH-2927.fastq	gbsFlowcell	ZeaSynDH-2927.fastq	gbs	278
ZeaSynDH-3083.fastq	gbsFlowcell	ZeaSynDH-3083.fastq	gbs	279
ZeaSynDH-2728.fastq	gbsFlowcell	ZeaSynDH-2728.fastq	gbs	280
ZeaSynDH-2514.fastq	gbsFlowcell	ZeaSynDH-2514.fastq	gbs	281
ZeaSynDH-2651.fastq	gbsFlowcell	ZeaSynDH-2651.fastq	gbs	282
ZeaSynDH-3483.fastq	gbsFlowcell	ZeaSynDH-3483.fastq	gbs	283
ZeaSynDH-2731.fastq	gbsFlowcell	ZeaSynDH-2731.fastq	gbs	284
ZeaSynDH-2432.fastq	gbsFlowcell	ZeaSynDH-2432.fastq	gbs	285
ZeaSynDH-2643.fastq	gbsFlowcell	ZeaSynDH-2643.fastq	gbs	286
ZeaSynDH-2383.fastq	gbsFlowcell	ZeaSynDH-2383.fastq	gbs	287
ZeaSynDH-2622.fastq	gbsFlowcell	ZeaSynDH-2622.fastq	gbs	288
ZeaSynDH-2959.fastq	gbsFlowcell	ZeaSynDH-2959.fastq	gbs	289
ZeaSynDH-3721.fastq	gbsFlowcell	ZeaSynDH-3721.fastq	gbs	290
ZeaSynDH-2006.fastq	gbsFlowcell	ZeaSynDH-2006.fastq	gbs	291
ZeaSynDH-1065.fastq	gbsFlowcell	ZeaSynDH-1065.fastq	gbs	292
ZeaSynDH-2531.fastq	gbsFlowcell	ZeaSynDH-2531.fastq	gbs	293
ZeaSynDH-3404.fastq	gbsFlowcell	ZeaSynDH-3404.fastq	gbs	294
ZeaSynDH-2212.fastq	gbsFlowcell	ZeaSynDH-2212.fastq	gbs	295
ZeaSynDH-2852.fastq	gbsFlowcell	ZeaSynDH-2852.fastq	gbs	296
ZeaSynDH-3761.fastq	gbsFlowcell	ZeaSynDH-3761.fastq	gbs	297
ZeaSynDH-2183.fastq	gbsFlowcell	ZeaSynDH-2183.fastq	gbs	298
ZeaSynDH-2326.fastq	gbsFlowcell	ZeaSynDH-2326.fastq	gbs	299
ZeaSynDH-2058.fastq	gbsFlowcell	ZeaSynDH-2058.fastq	gbs	300
ZeaSynDH-2592.fastq	gbsFlowcell	ZeaSynDH-2592.fastq	gbs	301
ZeaSynDH-3611.fastq	gbsFlowcell	ZeaSynDH-3611.fastq	gbs	302
ZeaSynDH-3590.fastq	gbsFlowcell	ZeaSynDH-3590.fastq	gbs	303
ZeaSynDH-1256.fastq	gbsFlowcell	ZeaSynDH-1256.fastq	gbs	304
ZeaSynDH-2301.fastq	gbsFlowcell	ZeaSynDH-2301.fastq	gbs	305
ZeaSynDH-3579.fastq	gbsFlowcell	ZeaSynDH-3579.fastq	gbs	306
ZeaSynDH-2358.fastq	gbsFlowcell	ZeaSynDH-2358.fastq	gbs	307
ZeaSynDH-2646.fastq	gbsFlowcell	ZeaSynDH-2646.fastq	gbs	308
ZeaSynDH-2557.fastq	gbsFlowcell	ZeaSynDH-2557.fastq	gbs	309
ZeaSynDH-2020.fastq	gbsFlowcell	ZeaSynDH-2020.fastq	gbs	310
ZeaSynDH-2661.fastq	gbsFlowcell	ZeaSynDH-2661.fastq	gbs	311
ZeaSynDH-2635.fastq	gbsFlowcell	ZeaSynDH-2635.fastq	gbs	312
ZeaSynDH-2938.fastq	gbsFlowcell	ZeaSynDH-2938.fastq	gbs	313
ZeaSynDH-2639.fastq	gbsFlowcell	ZeaSynDH-2639.fastq	gbs	314
ZeaSynDH-3538.fastq	gbsFlowcell	ZeaSynDH-3538.fastq	gbs	315
ZeaSynDH-2360.fastq	gbsFlowcell	ZeaSynDH-2360.fastq	gbs	316
ZeaSynDH-1237.fastq	gbsFlowcell	ZeaSynDH-1237.fastq	gbs	317
ZeaSynDH-3154.fastq	gbsFlowcell	ZeaSynDH-3154.fastq	gbs	318
ZeaSynDH-2568.fastq	gbsFlowcell	ZeaSynDH-2568.fastq	gbs	319
ZeaSynDH-2430.fastq	gbsFlowcell	ZeaSynDH-2430.fastq	gbs	320
